username,page,mode,gender,activity_level,path,date
19c4e6932a1ea58206f6d8012d6c7bd729379d4cb9b5dfd818c3131db579a631,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,audit,NA,under_30_min,/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,2017-04-18
19c4e6932a1ea58206f6d8012d6c7bd729379d4cb9b5dfd818c3131db579a631,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,audit,NA,under_30_min,/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,2017-04-18
19c4e6932a1ea58206f6d8012d6c7bd729379d4cb9b5dfd818c3131db579a631,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,audit,NA,under_30_min,/c080216c47394f9591d9b36683747441/7ce739425f0e48229aa16b1e963ebf51,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
7c829ace546d4c030e81f782c7d998885d2dca1e7a54c645064feb80bffc3eb3,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/e55c5c8343cb4a4db8bd78944f9fcd1c,audit,NA,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/e55c5c8343cb4a4db8bd78944f9fcd1c,2017-04-18
ddead989ebb38989e67c522fb492c8b25c294ededec498a0814fcf29456351d7,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,audit,f,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
ddead989ebb38989e67c522fb492c8b25c294ededec498a0814fcf29456351d7,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,audit,f,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,2017-04-18
ddead989ebb38989e67c522fb492c8b25c294ededec498a0814fcf29456351d7,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,audit,f,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
ddead989ebb38989e67c522fb492c8b25c294ededec498a0814fcf29456351d7,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,audit,f,30_min_to_5_hr,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,2017-04-18
8d05c904a38bc7e9b8c03583f1c8255204c166a1aa1549276cd048d8b6022bd1,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,verified,f,30_min_to_5_hr,/9343693e210b4e8ca7c0482fdc166d27/de659c7345ea4349a0964f5aea0250eb,2017-04-18
