username,link,path,gender,mode,activity_level,chapter_location
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/5c6cb4fdd4cf9c92d5f64a288cbc1316/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part3Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc/?child=first,f,audit,30_min_to_5_hr,Part 3: Research Methods II
b5215e3b015084ad38d1602a556b8409bbf29e4bd408dda070b239cf7f5e62f4,"{""target_url"": ""https://www.verywell.com/most-influential-psychologists-2795264"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/79881c6fdd5f442d849aeb75d28c6ca8/,f,audit,30_min_to_5_hr,Part 1: What Is Psychology?
c47c9e0fbaf0233f8c19063aeabdb02f654400f3a356ea7310cc5489800b75b8,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/9c13e2c128757b7c226dea6d1bd2899b/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part2Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/0a9f7e4a913144d5b4de1872ba2a3e23/,m,audit,30_min_to_5_hr,Part 2: Research Methods I
c47c9e0fbaf0233f8c19063aeabdb02f654400f3a356ea7310cc5489800b75b8,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7bbf5e7db7b14bd5af987ba913855eb5/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
6196747959af0471b815ee929cd78be665336aabd1cebd6036a173f0624b1817,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/,NA,audit,under_30_min,Part 1: What Is Psychology?
e8b4b8c786d4de7ca344a0ef0892b2b5720deb236fd6246ad7b4a8b37b4e408d,"{""target_url"": ""https://www.youtube.com/watch?v=z03FQGlGgo0"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4b586c1f090e4d29b4d768bfc4e7f9c5/?child=first,m,audit,30_min_to_5_hr,Part 3: Research Methods II
e8b4b8c786d4de7ca344a0ef0892b2b5720deb236fd6246ad7b4a8b37b4e408d,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/5c6cb4fdd4cf9c92d5f64a288cbc1316/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part3Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc/,m,audit,30_min_to_5_hr,Part 3: Research Methods II
95638d83b74615cda3016270f257eca1dbff9f7df3a0ada75ba18a457cac391c,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
95638d83b74615cda3016270f257eca1dbff9f7df3a0ada75ba18a457cac391c,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
a1885fb956751c6c6397a1c2dda7757454dbfb5e3fadd35ac6ed1d991e9d97a3,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,m,audit,under_30_min,Part 1: What Is Psychology?
